Phi[deg],Theta[deg],RealizedGainY
12,12,29.5107
14,12,29.1566
16,12,28.7591
18,12,28.3218
20,12,27.8486
22,12,27.3436
24,12,26.8109
26,12,26.2549
28,12,25.6798
30,12,25.09
32,12,24.4896
34,12,23.8828
36,12,23.2734
38,12,22.6651
40,12,22.0614
42,12,21.4654
44,12,20.8803
46,12,20.3087
48,12,19.7529
50,12,19.2153
52,12,18.6976
54,12,18.2015
56,12,17.7286
58,12,17.2799
60,12,16.8565
62,12,16.4592
64,12,16.0887
66,12,15.7455
68,12,15.4301
70,12,15.1426
72,12,14.8834
74,12,14.6525
76,12,14.45
78,12,14.2761
80,12,14.1307
82,12,14.0138
84,12,13.9255
86,12,13.8657
88,12,13.8346
90,12,13.8322
92,12,13.8585
94,12,13.9136
96,12,13.9976
98,12,14.1107
100,12,14.2529
102,12,14.4244
104,12,14.6253
106,12,14.8556
108,12,15.1154
110,12,15.4046
112,12,15.7231
114,12,16.0708
116,12,16.4472
118,12,16.8519
120,12,17.2843
122,12,17.7435
124,12,18.2286
126,12,18.7382
128,12,19.2708
130,12,19.8246
132,12,20.3977
134,12,20.9877
136,12,21.5918
138,12,22.2073
140,12,22.831
142,12,23.4592
144,12,24.0884
146,12,24.7146
148,12,25.3335
150,12,25.941
152,12,26.5326
154,12,27.1039
156,12,27.6503
158,12,28.1675
160,12,28.6512
162,12,29.0973
164,12,29.5018
166,12,29.8614
168,12,30.1726
170,12,30.4329
172,12,30.6398
174,12,30.7916
176,12,30.887
178,12,30.9251
180,12,30.906
-180,14,27.9372
-178,14,27.853
-176,14,27.7001
-174,14,27.4806
-172,14,27.1971
-170,14,26.8529
-168,14,26.4522
-166,14,25.9991
-164,14,25.4987
-162,14,24.956
-160,14,24.3764
-158,14,23.7653
-156,14,23.1284
-154,14,22.4711
-152,14,21.7988
-150,14,21.1167
-148,14,20.4297
-146,14,19.7426
-144,14,19.0595
-142,14,18.3846
-140,14,17.7215
-138,14,17.0734
-136,14,16.4432
-134,14,15.8334
-132,14,15.2462
-130,14,14.6834
-128,14,14.1465
-126,14,13.6366
-124,14,13.1548
-122,14,12.7015
-120,14,12.2774
-118,14,11.8827
-116,14,11.5173
-114,14,11.1814
-112,14,10.8747
-110,14,10.5969
-108,14,10.3478
-106,14,10.127
-104,14,9.93415
-102,14,9.76877
-100,14,9.63055
-98,14,9.51914
-96,14,9.43425
-94,14,9.37565
-92,14,9.34315
-90,14,9.33666
-88,14,9.35613
-86,14,9.40163
-84,14,9.47326
-82,14,9.57122
-80,14,9.69576
-78,14,9.84719
-76,14,10.0259
-74,14,10.2322
-72,14,10.4665
-70,14,10.7292
-68,14,11.0207
-66,14,11.3413
-64,14,11.6913
-62,14,12.0706
-60,14,12.4795
-58,14,12.9176
-56,14,13.3847
-54,14,13.8801
-52,14,14.4031
-50,14,14.9526
-48,14,15.5271
-46,14,16.1249
-44,14,16.744
-42,14,17.3818
-40,14,18.0355
-38,14,18.702
-36,14,19.3775
-34,14,20.0581
-32,14,20.7395
-30,14,21.417
-28,14,22.0856
-26,14,22.7401
-24,14,23.3751
-22,14,23.985
-20,14,24.5644
-18,14,25.1075
-16,14,25.6091
-14,14,26.064
-12,14,26.4673
-10,14,26.8146
-8,14,27.1019
-6,14,27.3259
-4,14,27.484
-2,14,27.5742
0,14,27.5954
2,14,27.5472
4,14,27.43
6,14,27.2452
8,14,26.9947
10,14,26.6814
12,14,26.3087
14,14,25.8807
16,14,25.402
18,14,24.8776
20,14,24.3128
22,14,23.7132
24,14,23.0845
26,14,22.4323
28,14,21.7624
30,14,21.0802
32,14,20.3911
34,14,19.6999
36,14,19.0116
38,14,18.3303
40,14,17.66
42,14,17.0042
44,14,16.3662
46,14,15.7486
48,14,15.1538
50,14,14.5837
52,14,14.0399
54,14,13.5236
56,14,13.036
58,14,12.5775
60,14,12.1487
62,14,11.7499
64,14,11.381
66,14,11.0419
68,14,10.7326
70,14,10.4526
72,14,10.2016
74,14,9.97915
76,14,9.78492
78,14,9.61847
80,14,9.47942
82,14,9.36743
84,14,9.28223
86,14,9.22361
88,14,9.19144
90,14,9.18568
92,14,9.20637
94,14,9.25366
96,14,9.32777
98,14,9.429
100,14,9.55776
102,14,9.71448
104,14,9.89967
106,14,10.1139
108,14,10.3577
110,14,10.6316
112,14,10.9361
114,14,11.2717
116,14,11.6388
118,14,12.0375
120,14,12.4681
122,14,12.9302
124,14,13.4236
126,14,13.9477
128,14,14.5015
130,14,15.0837
132,14,15.6927
134,14,16.3263
136,14,16.9822
138,14,17.6574
140,14,18.3486
142,14,19.0519
144,14,19.7631
146,14,20.4776
148,14,21.1904
150,14,21.8962
152,14,22.5894
154,14,23.2641
156,14,23.9146
158,14,24.5349
160,14,25.1192
162,14,25.6618
164,14,26.1573
166,14,26.6006
168,14,26.9872
170,14,27.313
172,14,27.5747
174,14,27.7695
176,14,27.8955
178,14,27.9515
180,14,27.9372
-180,16,24.9056
-178,16,24.8193
-176,16,24.6534
-174,16,24.4103
-172,16,24.0936
-170,16,23.7076
-168,16,23.2574
-166,16,22.749
-164,16,22.1884
-162,16,21.5824
-160,16,20.9379
-158,16,20.2617
-156,16,19.5609
-154,16,18.8422
-152,16,18.1122
-150,16,17.3769
-148,16,16.6423
-146,16,15.9136
-144,16,15.1956
-142,16,14.4927
-140,16,13.8086
-138,16,13.1466
-136,16,12.5093
-134,16,11.8992
-132,16,11.3179
-130,16,10.7668
-128,16,10.2468
-126,16,9.75865
-124,16,9.30249
